isco_code,anzsco_code,anzsco_title,match_quality
2142,233215,Transport Engineer,partial
2142,233914,Engineering Technologist,partial
2143,233915,Environmental Engineer,exact
2144,233512,Mechanical Engineer,exact
2144,233911,Aeronautical Engineer,exact
2144,233914,Engineering Technologist,partial
2144,233916,Naval Architect / Marine Designer,exact
2145,233111,Chemical Engineer,exact
2145,233914,Engineering Technologist,partial
2145,234212,Food Technologist,exact
2145,234213,Wine Maker,exact
2146,233112,Materials Engineer,partial
2146,233611,Mining Engineer (excluding Petroleum),exact
2146,233612,Petroleum Engineer,exact
2146,233914,Engineering Technologist,partial
2146,233999,Engineering Professionals nec,partial
2146,234912,Metallurgist,partial
2149,233112,Materials Engineer,partial
2149,233213,Quantity Surveyor,exact
2149,233511,Industrial Engineer,partial
2149,233912,Agricultural Engineer,exact
2149,233913,Biomedical Engineer,exact
2149,233914,Engineering Technologist,partial
2149,233999,Engineering Professionals nec,partial
2149,234912,Metallurgist,partial
2149,312611,Safety Inspector,partial
2151,233311,Electrical Engineer,partial
2151,233914,Engineering Technologist,partial
2152,233411,Electronics Engineer,exact
2152,233914,Engineering Technologist,partial
2153,263311,Telecommunications Engineer,exact
2153,263312,Telecommunications Network Engineer,exact
2161,232111,Architect,exact
2161,232511,Interior Designer,partial
2162,232112,Landscape Architect,partial
2162,232611,Urban and Regional Planner,partial
2163,232311,Fashion Designer,partial
2163,232312,Industrial Designer,partial
2163,232313,Jewellery Designer,exact
2164,232611,Urban and Regional Planner,partial
2165,232212,Surveyor,partial
2165,232213,Cartographer,exact
2165,232214,Other Spatial Scientist,exact
2166,232411,Graphic Designer,partial
2166,232412,Illustrator,partial
2166,232413,Multimedia Designer,partial
2166,232414,Web Designer,exact
2166,261211,Multimedia Specialist,partial
2166,263299,ICT Support and Test Engineers nec,partial
2211,253111,General Practitioner,exact
2211,253112,Resident Medical Officer,exact
2212,253211,Anaesthetist,exact
2212,253311,Specialist Physician (General Medicine),exact
2212,253312,Cardiologist,exact
2212,253313,Clinical Haematologist,exact
